;name;salary_from;salary_to;currency;experience;schedule;schedule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1393;Python разработчик (удаленная работа);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Django;Angular;Sentry;ELK;Docker;;;;;;;;;;;;;;;;;;;;;;;
1395;Junior/Middle Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Английский язык;Deep Learning;PyTorch;Transformers;Git;;;;;;;;;;;;;;;;;;;;;;;;
1396;Python developer;80000.0;180000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;REST;MySQL;PostgreSQL;Redis;Memcached;Linux;PHP;;;;;;;;;;;;;;;;;;;;;;
1400;Junior/Middle Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Английский язык;Deep Learning;PyTorch;Git;Transformers;;;;;;;;;;;;;;;;;;;;;;;;
1401;Middle Python developer;120000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;PostgreSQL;Redis;Git;;;;;;;;;;;;;;;;;;;;;;;;;
1402;Ведущий специалист отдела моделирования и математического анализа;70000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Анализ данных;Аналитическое мышление;MS PowerPoint;Аналитические исследования;Работа с базами данных;Статистический анализ;VBA;Python;;;;;;;;;;;;;;;;;;;;;;
1407;Аналитик;;;;От 1 года до 3 лет;Полный день;Полный день;Английский язык;Python;Грамотная речь;Умение принимать решения;MS PowerPoint;;;;;;;;;;;;;;;;;;;;;;;;;
1408;Инженер по обеспечению качества программных продуктов (Тестировщик);;115000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1410;Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Математическая статистика;Статистический анализ;Анализ данных;Pandas;Numpy;Машинное обучение;sklearn;ML;Математика;;;;;;;;;;;;;;;;;;;
1411;Ментор по детскому программированию;20000.0;60000.0;KGS;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;Грамотная речь;Способность обучать других;Умение объяснять;HTML;CSS;;;;;;;;;;;;;;;;;;;;;;;;
1412;Python developer (computer vision backend);3500.0;;EUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;PostgreSQL;Git;FastAPI;Aiohttp;;;;;;;;;;;;;;;;;;;;;;;;;
1416;Разработчик С++;3000.0;5000.0;USD;От 1 года до 3 лет;Полный день;Полный день;C/C++;многопоточность;структуры данных;STL;;;;;;;;;;;;;;;;;;;;;;;;;;
1417;Разработчик Python (Рекламная платформа);;;;От 1 года до 3 лет;Полный день;Полный день;Git;Python;SQL;Linux;PostgreSQL;;;;;;;;;;;;;;;;;;;;;;;;;
1419;Специалист по информационной безопасности;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1420;Data Scientist (Скормейкер);;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1425;Junior Developer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;jQuery;HTML;JavaScript;SQL;JIRA workflow;Excel;CSS;;;;;;;;;;;;;;;;;;;;;;;
1426;Разработчик Python;60000.0;70000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;ООП;Работа с базами данных;Базы данных;;;;;;;;;;;;;;;;;;;;;;;;;
1428;AQA Python Fullstack / Специалист по автоматизации Python (полный стек);;;;От 1 года до 3 лет;Полный день;Полный день;SQL;Python;PostgreSQL;Hadoop;Teradata;"AirFlow;";"Oracle;";Обучение и развитие;Планирование карьеры;Базы данных;Бесконфликтность;Способности к межличностному деловому общению;;;;;;;;;;;;;;;;;;
1430;Web-разработчик;50000.0;50000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Коммуникабельность;Исполнительность;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1431;Web-разработчик;150000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Git;JavaScript;Linux;HTML;CSS;Python;Docker;;;;;;;;;;;;;;;;;;;;;;;
1434;Junior+ Python разработчик;80000.0;120000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Nginx;PostgreSQL;Django Framework;Python;Django REST;Redis;;;;;;;;;;;;;;;;;;;;;;;;
1435;Скоринг-аналитик / Data scientist / Аналитик (скоринг);;;;От 1 года до 3 лет;Полный день;Полный день;MS SQL;Математическое моделирование;Кредиторская задолженность;Аналитическое мышление;SQL;XGboost;Python;;;;;;;;;;;;;;;;;;;;;;;
1438;Junior Developer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;CSS;jQuery;HTML;JavaScript;MS SQL;JIRA workflow;Excel;;;;;;;;;;;;;;;;;;;;;;;
1440;Разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;VBA;Data Analysis;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;
1441;Разработчик программного обеспечения (Ментор - ассистент);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Linux;MySQL;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;
1442;Middle Python/Go developer (офис);;200000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Redis;Python;docker;ElasticSearch;Golang;;;;;;;;;;;;;;;;;;;;;;;;;
1443;Преподаватель онлайн-курсов Python / Scratch / Геймдизайн для детей (групповые занятия);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Преподаватель;Обучение;Грамотная речь;Python;Геймдизайн;Scratch;;;;;;;;;;;;;;;;;;;;;;;;
1446;Программист Python;125000.0;220000.0;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1448;Аналитик;;;;От 1 года до 3 лет;Полный день;Полный день;Работа с большим объемом информации;Многозадачность;MS Access;Электронная коммерция;1C: Предприятие;Продвинутый пользователь MS Excel;Работа в Excel;;;;;;;;;;;;;;;;;;;;;;;
1450;Преподаватель по программированию;70000.0;200000.0;KZT;От 1 года до 3 лет;Гибкий график;Гибкий график;Преподаватель;Python;Грамотная речь;Обучение;Обучение и развитие;Техническое обучение;Работа с детьми;;;;;;;;;;;;;;;;;;;;;;;
1452;Automation QA engineer (Python);;250000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Linux;PostgreSQL;Python;Golang;Docker;Selenium IDE;Pytest;PyCharm;Git;Wireshark;;;;;;;;;;;;;;;;;;;;
1453;Аналитик SQL,Python;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Аналитическое мышление;Анализ данных;Бизнес-анализ;Работа с большим объемом информации;Python;SQL;Системность;;;;;;;;;;;;;;;;;;;;;;;
1455;Преподаватель компьютерных курсов Малой Компьютерной Академии;;;;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;Adobe Photoshop;Unity;Blender 3D;GIMP;Фотография;Видеомонтаж;Видеосъемка;Обработка видео;Обработка изображений;Веб-дизайн;Веб-программирование;HTML;Android;Sony Vegas;Опыт работы с детьми;;;;;;;;;;;;;;
1456;Тестировщик (QA-engineer);400.0;;USD;От 1 года до 3 лет;Полный день;Полный день;Atlassian Jira;Git;Postman;Функциональное тестирование;Тестирование;;;;;;;;;;;;;;;;;;;;;;;;;
1460;IT-администратор \ Web-программист;300000.0;450000.0;KZT;От 1 года до 3 лет;Полный день;Полный день;MySQL;JavaScript;Администрирование сайтов;Python;CSS;HTML5;HTML;R-Keeper;Веб-программирование;XML;PHP;Английский язык;Настройка DNS;;;;;;;;;;;;;;;;;
1462;Младший исследователь;;;;От 1 года до 3 лет;Полный день;Полный день;Git;C/C++;JSON;Linux;realtime;;;;;;;;;;;;;;;;;;;;;;;;;
1463;Младший системный администратор;60000.0;90000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;PowerShell;Helpdesk;Mac Os;Bash;Windows 10;;;;;;;;;;;;;;;;;;;;;;;;
1464;Junior Developer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;CSS;jQuery;HTML;JavaScript;MS SQL;JIRA workflow;Excel;;;;;;;;;;;;;;;;;;;;;;;
1465;Инженер-программист машинного зрения MV и обработки данных BIGDATA;80000.0;;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;SQL;Linux;C++;MS SQL;TCP/IP;СУБД;MySQL;Разработка технических заданий;Разработка ПО;Работа с базами данных;техническое зрение;компьютерное зрение;OpenCV;;;;;;;;;;;;;;;;
1466;Преподаватель математики, информатики и программирования;;50000.0;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;Работа в команде;Преподаватель;Веб-программирование;Python;Unity;обучение детей;Грамотная речь;Обучение и развитие;Обучение;Школьная математика;Математика;Репетитор;Программист-стажер;Junior-разработчик;;;;;;;;;;;;;;;;
1474;Системный администратор Linux;;;;От 1 года до 3 лет;Полный день;Полный день;Python;MySQL;Linux;Грамотность;Bash;CLI;OSI;BGP, PPPoE, SNMP, Radius, mysql, Nginx + php fpm, iptables;Perl;;;;;;;;;;;;;;;;;;;;;
1475;Data Scientist (Marketplace Efficiency);225000.0;280000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;;;
1477;Преподаватель направления по разработке VR/AR приложений в IT - Куб;;;;От 1 года до 3 лет;Полный день;Полный день;Работа в команде;Организация учебного процесса;Грамотность;;;;;;;;;;;;;;;;;;;;;;;;;;;
1478;Автор работ по программированию / программист;;90000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1479;Junior Python Developer;35000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Базы данных;REST API;;;;;;;;;;;;;;;;;;;;;;;;;;
1480;Automation QA engineer (Python);;250000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Linux;PostgreSQL;Python;Golang;Docker;Selenium IDE;Pytest;PyCharm;Git;Wireshark;;;;;;;;;;;;;;;;;;;;
1481;Системный инженер (SOC);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Linux;Git;Python;Информационная безопасность;Unix;PostgeSQL;Bash;VMware vSphere;MySQL;;;;;;;;;;;;;;;;;;;;;
1483;Data Analyst;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Tableau;A/B тесты;;;;;;;;;;;;;;;;;;;;;;;;;;
1484;Специалист по нейросетевому распознаванию;100000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Нейронные сети;Tensorflow;Keras;C++;;;;;;;;;;;;;;;;;;;;;;;;;
1485;Автор работ по программированию / программист;;90000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1489;Full stack Python Developer;;2500.0;USD;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Удаленная работа;full stack;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;;
1491;Инженер-программист (отдел новой техники и программирования);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;MySQL;SQL;Flask;Готовность к командировкам;;;;;;;;;;;;;;;;;;;;;;;;
1493;Разработчик ПО;;;;От 1 года до 3 лет;Полный день;Полный день;SQL;C#;Oracle Pl/SQL;Python;ООП;.NET;JS;MySQL;MS SQL Server;PostgreSQL;;;;;;;;;;;;;;;;;;;;
1494;Автор работ по программированию / программист;;90000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1495;Business Data Analyst;300.0;600.0;USD;От 1 года до 3 лет;Полный день;Полный день;MS PowerPoint;SQL;Python;Tableau;Power BI;Работа с базами данных;Статистика;Бизнес-анализ;Data Analysis;BI;Анализ данных;Статистический анализ;Визуализация данных;Business Intelligence Systems;Аналитическое мышление;Бизнес-аналитика;Базы данных;Русский — C1 — Продвинутый;Английский — C1 — Продвинутый;;;;;;;;;;;
1497;Data Analyst / Аналитик данных;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Pandas;Data Analysis;Numpy;;;;;;;;;;;;;;;;;;;;;;;;;
1498;Junior Developer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;CSS;jQuery;HTML;JavaScript;MS SQL;JIRA workflow;Excel;;;;;;;;;;;;;;;;;;;;;;;
1499;Преподаватель/Методист по программированию Minecraft, Unity, Scratch, Roblox, Python (Удаленно);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Грамотная речь;Работа в команде;Преподаватель;Грамотность;Обучение;Любовь к детям;Уверенный пользователь ПК;Индивидуальное обучение;Работа с людьми;Позитив;Умение объяснять;;;;;;;;;;;;;;;;;;;
1500;Python developer (г. Томск);40000.0;100000.0;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;SQL;asyncio;NoSQL;Английский язык;Работа с большим объемом информации;;;;;;;;;;;;;;;;;;;;;;;;
1501;Junior-Middle Разработчик Python на платежную платформу;120000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;PostgreSQL;Django;;;;;;;;;;;;;;;;;;;;;;;;;;
1512;Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1515;Инженер-программист;250000.0;;KZT;От 1 года до 3 лет;Полный день;Полный день;SQL;Delphi;HTML;Python;;;;;;;;;;;;;;;;;;;;;;;;;;
1516;Программист-наставник;50000.0;100000.0;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;Организация мероприятий;Обучение;Обучение и развитие;Веб-программирование;Разработка ПО;Разработка компьютерных Игр;HTML;Python;C#;Java;JavaScript;HTML5;C++;Unity;Информационные технологии;Групповое обучение;Графические редакторы;Линейное программирование;Преподавание;SQL;Базы данных;С#;;;;;;;;
1517;Data Scientist (Marketplace Efficiency);;280000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;;;
1518;Middle Python (Typescript) Developer;140000.0;;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;Git;Английский язык;Mac Os;Mac Software;Командная работа;Профессиональный пользователь ПК;Python;;;;;;;;;;;;;;;;;;;;;;;
1521;Junior Developer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;jQuery;HTML;JavaScript;SQL;JIRA workflow;Excel;CSS;;;;;;;;;;;;;;;;;;;;;;;
1525;Инженер-Программист (Микроконтроллеры);50000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1527;Администратор роботизированных каналов;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Парсинг;Линейное программирование;С#;Анализ поведения пользователей;Гибкость мышления;Аналитические навыки;;;;;;;;;;;;;;;;;;;;;;;
1532;Middle Python разработчик;1500.0;3000.0;USD;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django Framework;Git;Linux;PostgreSQL;FastAPI;;;;;;;;;;;;;;;;;;;;;;;;
1533;Python, Golang Developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Docker;PODMAN;Git;Grafana;K8S;Kubernetes;Nomad;RabbitMQ;Kafka;MS SQL Server;ORACLE;;;;;;;;;;;;;;;;;
1538;Младший разработчик (в г. Псков);;;;От 1 года до 3 лет;Полный день;Полный день;SQL;Oracle Pl/SQL;Управление проектами;MySQL;Python;;;;;;;;;;;;;;;;;;;;;;;;;
1540;Аналитик sql;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Английский язык;SQL;Математический анализ;MS PowerPoint;;;;;;;;;;;;;;;;;;;;;;;;;
1541;HR менеджер для найма Python программистов;500.0;1000.0;USD;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Подбор персонала;Оценка кандидатов;Собеседование;Внутренние коммуникации;;;;;;;;;;;;;;;;;;;;;;;;;;
1543;Разработчик корпоративной системы Python+Django/Java;;;;От 1 года до 3 лет;Полный день;Полный день;Postgres Pro;SQL;СУБД;Java;;;;;;;;;;;;;;;;;;;;;;;;;;
1546;Программист (junior);45000.0;45000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;SQL;Git;JavaScript;Oracle Pl/SQL;CSS;Python;;;;;;;;;;;;;;;;;;;;;;;;
1547;Разработчик C++/Python;;;;От 1 года до 3 лет;Полный день;Полный день;Linux;TCP/IP;SNMP;VLAN;Модель OSI;Redmine;C++;SVN;Python;;;;;;;;;;;;;;;;;;;;;
1548;Младший аналитик стратегического планирования (SQL);;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Математическая статистика;Анализ данных;Статистический анализ;;;;;;;;;;;;;;;;;;;;;;;;;
1549;Data Engineer junior +;;;;От 1 года до 3 лет;Полный день;Полный день;Python;MS SQL;Linux;;;;;;;;;;;;;;;;;;;;;;;;;;;
1555;Backend разработчик;4000000.0;6000000.0;UZS;От 1 года до 3 лет;Полный день;Полный день;JSON API;Django;REST API;Python;Git;Backend;;;;;;;;;;;;;;;;;;;;;;;;
1558;Преподаватель по программированию (Python, С++, Java);150000.0;250000.0;KZT;От 1 года до 3 лет;Полный день;Полный день;Преподаватель;Веб-программирование;HTML;JavaScript;CSS;PHP5;Графический дизайн;HTML5;Работа с большим объемом информации;Дизайн;Internet;Обучение персонала;Проведение презентаций;MySQL;C++;Scratch;Программирование 3D-графики;mincraft educate;Android SDK;Java;Roblox Studio;Borland Delphi;PHP;SQL;Adobe Photoshop;Пользователь ПК;Математическое программирование;Разработка ПО;Работа в команде;Грамотная речь
1562;Разработчик высоконагруженных систем в группу разработки BigRT;;;;От 1 года до 3 лет;Полный день;Полный день;C++;Английский язык;Python;Linux;Структуры данных;;;;;;;;;;;;;;;;;;;;;;;;;
1563;DevOps engineer;;;;От 1 года до 3 лет;Полный день;Полный день;Linux;Python;Bash;Docker;DevOps;Ansible;;;;;;;;;;;;;;;;;;;;;;;;
1564;Геймдизайнер-аналитик на мобильную RTS;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1565;Системный администратор Linux / Kubernetes (Middle DevOps инженер);150000.0;200000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Kubernetes;Docker;Linux;Ansible;Администрирование серверов Linux;;;;;;;;;;;;;;;;;;;;;;;;;
1567;Artificial Intelligence Programmer/Программист искусственного интеллекта;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1570;Data Scientist (Рекомендательные системы);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Hadoop;Spark;Docker;SQL;OpenShift;;;;;;;;;;;;;;;;;;;;;;;;
1572;Data аналитик (Big Data);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1573;Data Scientist / Machine Learning Engineer;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1574;Data scientist (Дирекция рисков);;;;От 1 года до 3 лет;Полный день;Полный день;SQL;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1575;Data Engineer;;;;От 1 года до 3 лет;Полный день;Полный день;Hive;Python;SQL;Hadoop;Spark;Azure;ETL;DWH;DataLake;Yandex Cloud Platform;;;;;;;;;;;;;;;;;;;;
1577;Разработчик в группу статистики баннерной системы;;;;От 1 года до 3 лет;Полный день;Полный день;C++;Алгоритмы и структуры данных;Linux;SQL;Базы данных;MapReduce;;;;;;;;;;;;;;;;;;;;;;;;
1578;Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Data Mining;Machine Learning;SQL;Data Analysis;;;;;;;;;;;;;;;;;;;;;;;;;
1581;Automation Test Engineer (Python, Linux);;;;От 1 года до 3 лет;Полный день;Полный день;Linux;Python;C/C++;Unix;;;;;;;;;;;;;;;;;;;;;;;;;;
1585;Middle ML Engineer/Data Scientist в Рекомендательную платформу (Big Data);;;;От 1 года до 3 лет;Полный день;Полный день;Python;ML;Hadoop;Spark;Hive;MLOps;Git;NymPy;Pandas;Airflow;SQL;NoSQL;API;A/B тесты;Docker;;;;;;;;;;;;;;;
1586;Инженер по автоматизации тестирования (Cysbi);;;;От 1 года до 3 лет;Полный день;Полный день;Docker;Git;Linux;Python;Golang;;;;;;;;;;;;;;;;;;;;;;;;;
1587;Продуктовый аналитик;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1594;Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1596;DevOps инженер (ML);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Linux;Docker;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;
1598;DevOps инженер (Bigdata);;;;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;Linux;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
1599;Python Team Lead / Руководитель backend разработки;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1600;Big data Developer;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1601;Разработчик (Backend developer / Python);100000.0;;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Базы данных;Python;MongoDB;Работа в команде;Ориентация на результат;;;;;;;;;;;;;;;;;;;;;;;;;
1606;Разработчик в тестировании (Mobile);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Java;SQL;Atlassian Jira;Git;Ruby;Python;;;;;;;;;;;;;;;;;;;;;;;;
1609;Devops инженер;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1610;Data Engineer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;SQL;Hadoop;Linux;Hive;;;;;;;;;;;;;;;;;;;;;;;;;
1611;Разработчик ПО;100000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Golang;Linux;Ansible;OpenStack;Kubernetes;Python;;;;;;;;;;;;;;;;;;;;;;;;
1612;Middle Python Developer (Москва);;;;От 1 года до 3 лет;Полный день;Полный день;RabbitMQ;Kafka;Redis;Flask;Docker;Python;Linux;Git;;;;;;;;;;;;;;;;;;;;;;
1617;Программист-разработчик PLC (ПО PLC);80000.0;100000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;MySQL;Linux;C/C++;Ведение документации;;;;;;;;;;;;;;;;;;;;;;;;;
1620;Data Analyst;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1622;Data scientist (команда Особенные решения);;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1625;Fullstack Python + React Developer Центр HR TECH (Проект Цифровой Подбор);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django Framework;PostgreSQL;Git;RabbitMQ;;;;;;;;;;;;;;;;;;;;;;;;;
1629;Product analyst ML (тестирование рекомендаций);;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Запуск новых продуктов;Аналитическое мышление;Power BI;Tableau;;;;;;;;;;;;;;;;;;;;;;;;
1630;Data scientist / Аналитик риск-моделей;120000.0;300000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Sas;Анализ данных;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;
1632;Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;PostgreSQL;Анализ данных;ORACLE;Git;;;;;;;;;;;;;;;;;;;;;;;;
1640;Python Developer Центр HR TECH (Проект Сеть Профессиональных Сообществ);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django Framework;PostgreSQL;Git;;;;;;;;;;;;;;;;;;;;;;;;;;
1641;Data analyst;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Computer Vision;Tensorflow;NLP;PyTorch;Data Analysis;Linux;Data Science;Алгоритмы;ML;;;;;;;;;;;;;;;;;;;;
1643;Senior CRM analyst;;;;От 1 года до 3 лет;Полный день;Полный день;Power BI;SQL;Python;MS PowerPoint;Анализ данных;A/B тесты;Retention;Удержание клиентов;CRM;;;;;;;;;;;;;;;;;;;;;
1644;Automation QA Python;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Linux;Jenkins;Docker;;;;;;;;;;;;;;;;;;;;;;;;;;
1645;Python разработчик (Energy Tool);;;;От 1 года до 3 лет;Полный день;Полный день;Python;REST;RabbitMQ;Docker;;;;;;;;;;;;;;;;;;;;;;;;;;
1647;DevOps инженер;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1649;Разработчик на Go и Python в команду платформы платёжного шлюза;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1651;Data Scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Data Analysis;R;MATLAB;Machine Learning;Нейронные сети;;;;;;;;;;;;;;;;;;;;;;;
1653;Разработчик/Аналитик SQL;;;;От 1 года до 3 лет;Полный день;Полный день;SQL;Python;PostgreSQL;MS SQL;Git;;;;;;;;;;;;;;;;;;;;;;;;;
1661;Аналитик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Аналитика продаж;Ad Hoc Analysis;;;;;;;;;;;;;;;;;;;;;;;;;;
1665;Data Scientist (Computer Vision);;;;От 1 года до 3 лет;Полный день;Полный день;Python;PyTorch;OpenCV;Computer Vision;Tensorflow;;;;;;;;;;;;;;;;;;;;;;;;;
1666;ML-разработчик (Data Scientist);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1669;Middle fullstack developer (Python+Vue.js)/ удаленно;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Django Framework;JavaScript;Django;Git;Python;SQL;PostgreSQL;Vue;;;;;;;;;;;;;;;;;;;;;;
1675;Data Engineer в команду Collateral Machine;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;ETL;Airflow;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;
1678;Старший инженер по автоматизации тестирования Python, ERP и учётные системы;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;SQL;Python;Функциональное тестирование;Тестирование;Регрессионное тестирование;API;ERP и учетные системы;IT;;;;;;;;;;;;;;;;;;;;;;
1680;Data Engineer;190000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Git;ETL;;;;;;;;;;;;;;;;;;;;;;;;;;
1681;Data scientist;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Математическая статистика;Анализ данных;Аналитическое мышление;pandas;;;;;;;;;;;;;;;;;;;;;;;;
1683;Data scientist Middle/Middle+ (офис);100000.0;200000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;SQL;Аналитическое мышление;Python;Power BI;Анализ данных;Аналитические исследования;A/B тесты;R;Статистика;;;;;;;;;;;;;;;;;;;;;
1685;Data Scientist (Почта);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Tensorflow;Machine Learning;Deep Learning;;;;;;;;;;;;;;;;;;;;;;;;;;
1687;Data Engineer направления разработки витрин данных;;;;От 1 года до 3 лет;Полный день;Полный день;Hive;Hadoop;Git;Python;SCALA;;;;;;;;;;;;;;;;;;;;;;;;;
