;name;salary_from;salary_to;currency;experience;schedule;schedule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;Аналитик данных / Data Scientist;;;;Нет опыта;Полный день;Полный день;Python;Tensorflow;Pandas;SQL;Английский язык;R;Регрессионный анализ;Факторный анализ;Data Analysis;ML;IRT;Анализ данных;;;;;;;;;;;;;;;;;;
167;Начинающий программист;20000.0;20000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;CSS;Linux;JavaScript;MySQL;Django Framework;HTML;jQuery;Python;SQL;;;;;;;;;;;;;;;;;;;;;
202;Программист;80000.0;100000.0;RUR;Нет опыта;Полный день;Полный день;Программирование;Альфа тестирование;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;Data Analyst (Стажер);;;;Нет опыта;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;АККРЕДИТОВАННАЯ КОМПАНИЯ Data Scientist / Python разработчик;;;;Нет опыта;Полный день;Полный день;Python;MATLAB;Математический анализ;Математическое моделирование;Математическое программирование;Математическая статистика;Pandas;Machine Learning;Numpy;Data Analysis;Matplotlib;SciPy;Deep Learning;Data Science;Машинное обучение;Scikit-learn;Maple;Mathematical Analysis;PyTorch;Mathematical Modeling;sklearn;Tensorflow;Keras;Computer Vision;;;;;;
250;Наставник;;80000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Грамотная речь;Обучение и развитие;Работа в команде;Обучение персонала;Программирование;;;;;;;;;;;;;;;;;;;;;;;;;
267;Программист (Web, php, Python);50000.0;80000.0;RUR;Нет опыта;Гибкий график;Гибкий график;PHP;Laravel;MongoDB;phpMyAdmin;Веб-программирование;Базы данных;SQL;JavaScript;Python;;;;;;;;;;;;;;;;;;;;;
278;Инженер-программист;60000.0;80000.0;RUR;Нет опыта;Полный день;Полный день;JavaScript;Python;C++;Lua;;;;;;;;;;;;;;;;;;;;;;;;;;
282;QA Engineer на мобильную RTS;;;;Нет опыта;Гибкий график;Гибкий график;QA;GameDev;Python;Тестирование;;;;;;;;;;;;;;;;;;;;;;;;;;
299;Инженер баз данных/Database Administrator/Engineer (Low-code);;;;Нет опыта;Удаленная работа;Удаленная работа;PostgreSQL;Python;NoSQL;Atlassian Jira;MongoDB;Git;Bash;MySQL;Java;Atlassian Confluence;Английский язык;SQL;Data Engineer;Databases;;;;;;;;;;;;;;;;
306;Программист Python;;;;Нет опыта;Полный день;Полный день;Python;MongoDB;Git;Linux;;;;;;;;;;;;;;;;;;;;;;;;;;
307;Python developer (Стажер, Web разработка);;;;Нет опыта;Полный день;Полный день;Желание;Целеустремленность;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;Программист-стажер GO / Go Intern (Telecom);;;;Нет опыта;Гибкий график;Гибкий график;Go;Golang;Телекоммуникации;Linux;Git;Atlassian Jira;BitBucket;;;;;;;;;;;;;;;;;;;;;;;
355;Junior Python разработчик (Django) в офис в Краснодаре;60000.0;;RUR;Нет опыта;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;Стажер Power BI;;;;Нет опыта;Полный день;Полный день;Python;MS PowerPoint;SQL;Английский язык;Power BI;;;;;;;;;;;;;;;;;;;;;;;;;
374;Разработчик исследователь по машинному обучению (C# / Python);40000.0;50000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Линейная алгебра;Алгоритмы и структуры данных;Математический анализ;Математическое программирование;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;
395;Преподаватель вебинаров курса Python (Git, Django, SQLite, ООП);57000.0;;RUR;Нет опыта;Гибкий график;Гибкий график;HTML;JavaScript;CSS;Преподаватель;Обучение;HTML5;PHP;;;;;;;;;;;;;;;;;;;;;;;
401;Data Scientist;;;;Нет опыта;Полный день;Полный день;Python;SQL;Oracle Pl/SQL;Английский язык;Tableau;;;;;;;;;;;;;;;;;;;;;;;;;
410;Стажёр в группу безопасности сервисов;;;;Нет опыта;Полный день;Полный день;Python;Linux;C/C++;SQL;Bash;;;;;;;;;;;;;;;;;;;;;;;;;
422;Backend разработчик;;90000.0;RUR;Нет опыта;Полный день;Полный день;Грамотная речь;Творческое мышление;проведение опросов общественного мнения;Опрятность;Работа в условиях многозадачности;Python;Linux;SQL;PostgreSQL;Git;Flask;REST API;JavaScript;C/C++;CSS;AWS;;;;;;;;;;;;;;
427;Разработчик;;25000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;JavaScript;CSS;Python;PHP;Веб-программирование;Парсинг;Удаленная работа;HTML/CSS;HTML;Java Script;Генерация идей;;;;;;;;;;;;;;;;;;;
457;Стажер (разработчик);;;;Нет опыта;Полный день;Полный день;Python;Django;Flask;SQL;Git;Linux;HTML;ООП;разработчик;;;;;;;;;;;;;;;;;;;;;
469;Стажер DevOps;;;;Нет опыта;Гибкий график;Гибкий график;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501;Data scientist lead;;;;Нет опыта;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
